id,name,location,price_per_night,amenities,rating,description,image_urls,room_type,max_guests
1,Jedi Suite (Hilton Downtown),Coruscant District (New York NY),150.00,"{""Wi-Fi"",""Pool"",""Meditation Chamber"",""City View""}",4.8,Luxurious suite in the heart of Coruscant with panoramic city views and a private meditation chamber.,"{""https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&h=600&fit=crop"",""https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800&h=600&fit=crop""}",suite,2
2,Bounty Hunter Bunk (Urban Loft),Tatooine Outskirts (Los Angeles CA),75.00,"{""Parking"",""Weapon Storage"",""Desert View""}",4.2,Cozy loft perfect for the traveling bounty hunter with secure storage facilities.,"{""https://images.unsplash.com/photo-1631049307264-da0ec9d70304?w=800&h=600&fit=crop""}",apartment,1
3,Sith Sanctuary (Marriott Elite),Mustafar Quarter (Chicago IL),200.00,"{""Wi-Fi"",""Gym"",""Dark Chamber"",""Lightning View""}",4.9,Premium suite with dark elegance and commanding views of the city skyline.,"{""https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800&h=600&fit=crop""}",suite,2
4,Rebel Base (Airbnb Hideout),Yavin Hub (Miami FL),120.00,"{""Wi-Fi"",""Breakfast"",""Command Center"",""Ocean View""}",4.5,Strategic oceanfront location perfect for planning your next mission.,"{""https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800&h=600&fit=crop""}",apartment,4
5,Smuggler's Den (Boutique Inn),Corellia Bay (San Francisco CA),90.00,"{""Parking"",""Pet-Friendly"",""Hidden Compartments"",""Bay View""}",4.3,Discrete hideout with secret compartments and stunning bay views.,"{""https://images.unsplash.com/photo-1520637836862-4d197d17c97a?w=800&h=600&fit=crop""}",apartment,3
6,Imperial Command Suite (Ritz Carlton),Death Star District (Las Vegas NV),300.00,"{""Wi-Fi"",""Butler Service"",""Hologram Theater"",""Strip View""}",4.7,Rule the galaxy from this opulent Imperial suite with personal butler service.,"{""https://images.unsplash.com/photo-1564501049412-61c2a3083791?w=800&h=600&fit=crop""}",suite,2
7,Ewok Village Treehouse (Eco Lodge),Endor Forest (Portland OR),85.00,"{""Wi-Fi"",""Nature Trails"",""Tree Canopy"",""Forest View""}",4.6,Unique treehouse experience in the heart of the forest canopy.,"{""https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800&h=600&fit=crop""}",apartment,4
8,Mandalorian Fortress (Secure Hotel),Mandalore Heights (Denver CO),180.00,"{""Wi-Fi"",""Security System"",""Armory"",""Mountain View""}",4.8,Fortified accommodation with state-of-the-art security systems.,"{""https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800&h=600&fit=crop""}",hotel,2
9,Cantina Quarters (Hostel),Mos Eisley (Phoenix AZ),45.00,"{""Wi-Fi"",""Shared Kitchen"",""Live Music"",""Desert View""}",4.0,Budget-friendly quarters above the famous cantina with live entertainment.,"{""https://images.unsplash.com/photo-1555854877-bab0e564b8d5?w=800&h=600&fit=crop""}",hotel,6
10,Cloud City Penthouse (Luxury High-Rise),Bespin Towers (Seattle WA),250.00,"{""Wi-Fi"",""Sky Lounge"",""Cloud Views"",""Concierge""}",4.9,Floating above the clouds with breathtaking aerial views of the city.,"{""https://images.unsplash.com/photo-1582719508461-905c673771fd?w=800&h=600&fit=crop""}",suite,3
